User ID Date Description Credit (Rs.) Debit (Rs.) Balance (Rs.)
"IN04 0001 2345 6789 03/01/2024 Uber Ride 461.64 44,738.36"
"IN04 0001 2345 6789 03/01/2024 Meesho 1,486.69 43,251.67"
"IN04 0001 2345 6789 04/01/2024 Swiggy Order 306.74 42,944.93"
"IN04 0001 2345 6789 04/01/2024 Bus Pass 1,825.96 41,118.97"
"IN04 0001 2345 6789 04/01/2024 Freelance Payment 58,701.47 99,820.44"
"IN04 0001 2345 6789 05/01/2024 Metro Card Recharge 1,788.33 98,032.11"
"IN04 0001 2345 6789 05/01/2024 EMI Debit 23,005.41 75,026.70"
"IN04 0001 2345 6789 05/01/2024 Internet Bill 1,767.23 73,259.47"
"IN04 0001 2345 6789 06/01/2024 Fuel - HPCL 351.52 72,907.95"
"IN04 0001 2345 6789 07/01/2024 Myntra Order 12,742.92 60,165.03"
"IN04 0001 2345 6789 07/01/2024 IMPS Transfer 32,323.71 27,841.32"
"IN04 0001 2345 6789 07/01/2024 Salary Credit 77,983.68 105,825.00"
"IN04 0001 2345 6789 08/01/2024 Meesho 4,539.04 101,285.96"
"IN04 0001 2345 6789 08/01/2024 Cash Deposit 11,758.37 89,527.59"
"IN04 0001 2345 6789 08/01/2024 Mobile Recharge 163.20 89,364.39"
"IN04 0001 2345 6789 09/01/2024 Loan Repayment 29,571.42 59,792.97"
"IN04 0001 2345 6789 10/01/2024 Insurance Premium 6,011.83 53,781.14"
"IN04 0001 2345 6789 11/01/2024 Cash Deposit 3,671.75 50,109.39"
"IN04 0001 2345 6789 11/01/2024 Spotify Premium 1,037.92 49,071.47"
"IN04 0001 2345 6789 11/01/2024 Postpaid Bill 1,006.90 48,064.57"
"IN04 0001 2345 6789 12/01/2024 Freelance Payment 17,255.19 65,319.76"
"IN04 0001 2345 6789 13/01/2024 Health Insurance 4,470.34 60,849.42"
"IN04 0001 2345 6789 13/01/2024 Netflix Subscription 419.90 60,429.52"
"IN04 0001 2345 6789 13/01/2024 Grocery - BigBasket 1,050.82 59,378.70"
"IN04 0001 2345 6789 15/01/2024 Cashback Credit 1,102.50 60,481.20"
"IN04 0001 2345 6789 16/01/2024 Airport Cab 4,543.29 55,937.91"
"IN04 0001 2345 6789 16/01/2024 Water Bill 3,750.45 52,187.46"
"IN04 0001 2345 6789 16/01/2024 Rental Income 61,026.04 113,213.50"
"IN04 0001 2345 6789 17/01/2024 GST Refund 1,841.88 115,055.38"
"IN04 0001 2345 6789 17/01/2024 DTH Recharge 2,518.23 112,537.15"
"IN04 0001 2345 6789 17/01/2024 EMI Debit 25,971.98 86,565.17"
"IN04 0001 2345 6789 18/01/2024 ATM Withdrawal 15,945.55 70,619.62"
"IN04 0001 2345 6789 19/01/2024 UPI Payment 15,513.74 55,105.88"
"IN04 0001 2345 6789 19/01/2024 PPF Contribution 12,945.00 42,160.88"
"IN04 0001 2345 6789 19/01/2024 Salary Credit 56,021.26 98,182.14"
"IN04 0001 2345 6789 21/01/2024 Credit Card Payment 10,865.09 87,317.05"
"IN04 0001 2345 6789 21/01/2024 Gym Membership 3,247.34 84,069.71"
"IN04 0001 2345 6789 23/01/2024 Freelance Payment 43,076.13 127,145.84"
"IN04 0001 2345 6789 23/01/2024 Myntra Order 12,656.71 114,489.13"
"IN04 0001 2345 6789 24/01/2024 Gas Bill 3,836.30 110,652.83"
"IN04 0001 2345 6789 26/01/2024 Mutual Fund SIP 6,037.45 104,615.38"
"IN04 0001 2345 6789 26/01/2024 BookMyShow 434.47 104,180.91"
"IN04 0001 2345 6789 27/01/2024 Refund - Amazon 473.98 104,654.89"
"IN04 0001 2345 6789 28/01/2024 Insurance Premium 14,680.78 89,974.11"
"IN04 0001 2345 6789 28/01/2024 Freelance Payment 14,629.36 104,603.47"
"IN04 0001 2345 6789 28/01/2024 PPF Contribution 8,673.78 95,929.69"
"IN04 0001 2345 6789 29/01/2024 Bus Pass 2,278.03 93,651.66"
"IN04 0001 2345 6789 29/01/2024 Mobile Recharge 1,097.84 92,553.82"
"IN04 0001 2345 6789 29/01/2024 IRCTC Ticket 13,311.57 79,242.25"
"IN04 0001 2345 6789 30/01/2024 Flipkart Order 3,525.52 75,716.73"
"IN04 0001 2345 6789 30/01/2024 Netflix Subscription 923.22 74,793.51"
"IN04 0001 2345 6789 30/01/2024 Bus Pass 699.64 74,093.87"
"IN04 0001 2345 6789 02/02/2024 Amazon Purchase 12,922.60 61,171.27"
"IN04 0001 2345 6789 04/02/2024 Gym Membership 4,363.31 56,807.96"
"IN04 0001 2345 6789 05/02/2024 Postpaid Bill 906.27 55,901.69"
"IN04 0001 2345 6789 06/02/2024 Loan Repayment 24,417.41 31,484.28"
"IN04 0001 2345 6789 07/02/2024 Amazon Purchase 9,952.94 21,531.34"
"IN04 0001 2345 6789 08/02/2024 Airport Cab 14,170.63 7,360.71"
"IN04 0001 2345 6789 08/02/2024 Mobile Recharge 1,042.38 6,318.33"
"IN04 0001 2345 6789 11/02/2024 Broadband Bill 1,220.63 5,097.70"
"IN04 0001 2345 6789 11/02/2024 Flipkart Order 3,035.53 2,062.17"
"IN04 0001 2345 6789 11/02/2024 Bonus Credit 15,513.67 17,575.84"
"IN04 0001 2345 6789 12/02/2024 Gym Membership 5,071.15 12,504.69"
"IN04 0001 2345 6789 14/02/2024 Credit Card Payment 3,839.35 8,665.34"
"IN04 0001 2345 6789 14/02/2024 ATM Withdrawal 619.28 8,046.06"
"IN04 0001 2345 6789 14/02/2024 Life Insurance 2,911.51 5,134.55"
"IN04 0001 2345 6789 15/02/2024 Stock Purchase 438.19 4,696.36"
"IN04 0001 2345 6789 15/02/2024 Internet Bill 110.56 4,585.80"
"IN04 0001 2345 6789 15/02/2024 IRCTC Ticket 388.46 4,197.34"
"IN04 0001 2345 6789 16/02/2024 Bus Booking 312.33 3,885.01"
"IN04 0001 2345 6789 16/02/2024 Fuel - HPCL 692.22 3,192.79"
"IN04 0001 2345 6789 19/02/2024 Swiggy Order 1,493.71 1,699.08"
"IN04 0001 2345 6789 19/02/2024 Dividend Credit 16,807.45 18,506.53"
"IN04 0001 2345 6789 21/02/2024 Meesho 1,205.82 17,300.71"
"IN04 0001 2345 6789 22/02/2024 Flight Ticket - IndiGo 983.27 16,317.44"
"IN04 0001 2345 6789 25/02/2024 Cash Deposit 864.68 15,452.76"
"IN04 0001 2345 6789 25/02/2024 Broadband Bill 433.40 15,019.36"
"IN04 0001 2345 6789 25/02/2024 Hotel Booking 817.97 14,201.39"
"IN04 0001 2345 6789 26/02/2024 Refund - Amazon 96.11 14,297.50"
"IN04 0001 2345 6789 26/02/2024 NEFT Inward 39,844.64 54,142.14"
"IN04 0001 2345 6789 27/02/2024 Rental Income 14,934.24 69,076.38"
"IN04 0001 2345 6789 28/02/2024 Refund - Amazon 4,402.39 73,478.77"
"IN04 0001 2345 6789 28/02/2024 BookMyShow 320.00 73,158.77"
"IN04 0001 2345 6789 29/02/2024 NEFT Inward 511.36 72,647.41"
"IN04 0001 2345 6789 29/02/2024 Pharmacy Purchase 18,784.71 53,862.70"
"IN04 0001 2345 6789 01/03/2024 Pharmacy Purchase 17,805.28 36,057.42"
"IN04 0001 2345 6789 02/03/2024 Lab Test 12,136.11 23,921.31"
"IN04 0001 2345 6789 03/03/2024 Fuel - HPCL 1,540.96 22,380.35"
"IN04 0001 2345 6789 03/03/2024 Pharmacy Purchase 1,936.74 20,443.61"
"IN04 0001 2345 6789 04/03/2024 Car Insurance 1,139.26 19,304.35"
"IN04 0001 2345 6789 04/03/2024 Spotify Premium 991.60 18,312.75"
"IN04 0001 2345 6789 04/03/2024 Hospital Bill 1,030.46 17,282.29"
"IN04 0001 2345 6789 05/03/2024 Salary Credit 13,390.54 30,672.83"
"IN04 0001 2345 6789 05/03/2024 Refund - Flipkart 2,750.67 33,423.50"
"IN04 0001 2345 6789 05/03/2024 Car Insurance 8,946.39 24,477.11"
"IN04 0001 2345 6789 06/03/2024 Hotel Booking 1,542.32 22,934.79"
"IN04 0001 2345 6789 07/03/2024 Refund - Amazon 4,499.68 27,434.47"
"IN04 0001 2345 6789 07/03/2024 Uber Ride 2,017.45 25,417.02"
"IN04 0001 2345 6789 08/03/2024 Credit Card Payment 1,358.06 24,058.96"
"IN04 0001 2345 6789 08/03/2024 NEFT Outward 37,045.40 61,104.36"
"IN04 0001 2345 6789 09/03/2024 EMI Debit 26,561.07 34,543.29"
"IN04 0001 2345 6789 11/03/2024 Broadband Bill 1,195.12 33,348.17"
"IN04 0001 2345 6789 12/03/2024 Credit Card Payment 26,057.86 7,290.31"
"IN04 0001 2345 6789 12/03/2024 EMI Debit 524.12 6,766.19"
"IN04 0001 2345 6789 12/03/2024 Mall Shopping 511.44 6,254.75"
"IN04 0001 2345 6789 13/03/2024 Metro Card Recharge 1,081.49 5,173.26"
"IN04 0001 2345 6789 14/03/2024 Ola Ride 1,997.10 3,176.16"
"IN04 0001 2345 6789 15/03/2024 BookMyShow 1,309.96 1,866.20"
"IN04 0001 2345 6789 15/03/2024 Loan Repayment 200.10 1,666.10"
"IN04 0001 2345 6789 15/03/2024 Cash Deposit 115.22 1,550.88"
"IN04 0001 2345 6789 16/03/2024 DTH Recharge 137.98 1,412.90"
"IN04 0001 2345 6789 16/03/2024 Meesho 219.07 1,193.83"
"IN04 0001 2345 6789 17/03/2024 Bus Booking 91.66 1,102.17"
"IN04 0001 2345 6789 17/03/2024 Refund - Flipkart 1,310.88 2,413.05"
"IN04 0001 2345 6789 18/03/2024 Cafe Coffee Day 232.96 2,180.09"
"IN04 0001 2345 6789 18/03/2024 Postpaid Bill 1,131.59 1,048.50"
IN04 0001 2345 6789 18/03/2024 Fuel - HPCL 242.71 805.79
"IN04 0001 2345 6789 19/03/2024 IMPS Transfer 26,602.82 27,408.61"
"IN04 0001 2345 6789 19/03/2024 Cashback Credit 2,560.26 29,968.87"
"IN04 0001 2345 6789 20/03/2024 Prime Video 1,075.79 28,893.08"
"IN04 0001 2345 6789 20/03/2024 Freelance Payment 19,388.01 48,281.09"
"IN04 0001 2345 6789 20/03/2024 Cash Deposit 13,707.70 34,573.39"
"IN04 0001 2345 6789 21/03/2024 NEFT Inward 12,177.81 22,395.58"
"IN04 0001 2345 6789 23/03/2024 Hospital Bill 8,654.77 13,740.81"
"IN04 0001 2345 6789 23/03/2024 NEFT Inward 781.05 12,959.76"
"IN04 0001 2345 6789 24/03/2024 Bonus Credit 64,530.15 77,489.91"
"IN04 0001 2345 6789 25/03/2024 ATM Withdrawal 6,033.83 71,456.08"
"IN04 0001 2345 6789 26/03/2024 Flipkart Order 10,157.38 61,298.70"
"IN04 0001 2345 6789 26/03/2024 Uber Ride 484.69 60,814.01"
"IN04 0001 2345 6789 28/03/2024 PPF Contribution 42,562.02 18,251.99"
"IN04 0001 2345 6789 30/03/2024 Bus Booking 6,074.73 12,177.26"
"IN04 0001 2345 6789 30/03/2024 Broadband Bill 791.62 11,385.64"
"IN04 0001 2345 6789 30/03/2024 Uber Ride 1,985.37 9,400.27"
"IN04 0001 2345 6789 02/04/2024 Uber Ride 2,422.12 6,978.15"
"IN04 0001 2345 6789 02/04/2024 Postpaid Bill 749.83 6,228.32"
"IN04 0001 2345 6789 02/04/2024 Freelance Payment 73,810.25 80,038.57"
"IN04 0001 2345 6789 04/04/2024 Internet Bill 3,371.13 76,667.44"
"IN04 0001 2345 6789 04/04/2024 Dividend Credit 28,797.35 105,464.79"
"IN04 0001 2345 6789 04/04/2024 Loan Repayment 18,766.92 86,697.87"
"IN04 0001 2345 6789 05/04/2024 Term Plan 13,509.52 73,188.35"
"IN04 0001 2345 6789 05/04/2024 Broadband Bill 729.55 72,458.80"
"IN04 0001 2345 6789 05/04/2024 EMI Debit 25,356.02 47,102.78"
"IN04 0001 2345 6789 06/04/2024 Credit Card Payment 15,053.31 32,049.47"
"IN04 0001 2345 6789 06/04/2024 Fuel - HPCL 1,347.62 30,701.85"
"IN04 0001 2345 6789 07/04/2024 Fuel - HPCL 1,040.75 29,661.10"
"IN04 0001 2345 6789 07/04/2024 Refund - Amazon 734.95 30,396.05"
"IN04 0001 2345 6789 08/04/2024 Hotel Booking 21,280.65 9,115.40"
"IN04 0001 2345 6789 10/04/2024 IRCTC Ticket 544.77 8,570.63"
"IN04 0001 2345 6789 10/04/2024 Metro Card Recharge 1,198.96 7,371.67"
"IN04 0001 2345 6789 10/04/2024 Credit Card Payment 382.29 6,989.38"
"IN04 0001 2345 6789 11/04/2024 Mutual Fund SIP 416.21 6,573.17"
"IN04 0001 2345 6789 11/04/2024 Airport Cab 478.24 6,094.93"
"IN04 0001 2345 6789 11/04/2024 Credit Card Payment 407.51 5,687.42"
"IN04 0001 2345 6789 12/04/2024 Airport Cab 1,162.04 4,525.38"
